index,Android,Visual Studio Code,React,Microsoft,Spotify,Trivago
94,0.287851,0.67615,0.512885,0.0442539,0.260989,0.447657
95,0.290922,0.680075,0.527341,0.045435,0.265861,0.451416
96,0.29405,0.683214,0.533627,0.0467689,0.270853,0.455771
97,0.296966,0.686059,0.54494,0.0479856,0.275511,0.460515
98,0.299805,0.688021,0.546197,0.0491099,0.279433,0.46369
99,0.302586,0.69018,0.550597,0.0501285,0.283268,0.466865
100,0.305197,0.692044,0.560025,0.0510576,0.287025,0.469468
101,0.307865,0.694791,0.561282,0.0518441,0.290588,0.47229
102,0.310301,0.696262,0.569453,0.0524629,0.293526,0.473968
103,0.312464,0.698224,0.573853,0.0528994,0.29577,0.475209
104,0.314714,0.699598,0.573853,0.0532201,0.297599,0.475732
105,0.316802,0.701462,0.573853,0.0534855,0.298997,0.475951
106,0.318849,0.704111,0.573853,0.0537117,0.300196,0.476109
107,0.320775,0.706367,0.578881,0.0538243,0.301301,0.476389
108,0.322796,0.709114,0.578881,0.0538805,0.302338,0.476572
109,0.324721,0.710586,0.580767,0.0540231,0.303153,0.476718
110,0.326915,0.712548,0.582652,0.0542274,0.303924,0.476949
111,0.329059,0.715197,0.583281,0.0544976,0.304861,0.477533
112,0.331346,0.717257,0.587052,0.0548378,0.306065,0.478141
113,0.333682,0.719808,0.590195,0.0552899,0.307923,0.479661
114,0.336442,0.722457,0.593966,0.0558539,0.310214,0.481644
115,0.339256,0.724909,0.595852,0.0564882,0.312767,0.483371
116,0.342323,0.72746,0.59648,0.0571914,0.315487,0.485902
117,0.345437,0.729324,0.597737,0.0579896,0.318633,0.488748
118,0.348779,0.730992,0.605908,0.0588986,0.322459,0.491485
119,0.352567,0.732758,0.608422,0.0600409,0.326725,0.495633
120,0.356264,0.735799,0.611565,0.0612496,0.331105,0.499282
121,0.359855,0.736976,0.615965,0.0622992,0.335146,0.502372
122,0.363499,0.738154,0.619107,0.0632904,0.338979,0.505596
123,0.366851,0.74041,0.619736,0.0642259,0.34267,0.508089
124,0.370064,0.741685,0.620365,0.0651135,0.346363,0.509841
125,0.373065,0.743942,0.623507,0.0659187,0.349777,0.511994
126,0.375872,0.745119,0.626021,0.0665662,0.35283,0.513843
127,0.378473,0.746296,0.627907,0.0670678,0.355105,0.514682
128,0.381052,0.747278,0.628536,0.0674702,0.356858,0.514889
129,0.383609,0.748651,0.632307,0.0678114,0.358325,0.515193
130,0.386143,0.750907,0.632935,0.0681066,0.359774,0.515254
131,0.388688,0.752085,0.633564,0.0682452,0.36119,0.515388
132,0.39135,0.753949,0.636078,0.0683456,0.362706,0.515582
133,0.394139,0.755617,0.636706,0.0685612,0.364236,0.515887
134,0.397003,0.757971,0.638592,0.0688077,0.365756,0.516361
135,0.400336,0.760522,0.641735,0.0691241,0.367638,0.517188
136,0.403776,0.761895,0.641735,0.0695672,0.370208,0.518952
137,0.407606,0.763563,0.641735,0.0702128,0.373902,0.521129
138,0.411799,0.765329,0.642363,0.0710738,0.378256,0.524706
139,0.416,0.766997,0.644249,0.0720933,0.382712,0.528793
140,0.420488,0.768959,0.646763,0.0732949,0.387441,0.532929
141,0.425103,0.771216,0.64802,0.0747209,0.39269,0.538196
142,0.430184,0.772589,0.648649,0.0763728,0.398566,0.54356
143,0.435403,0.774845,0.653048,0.0785547,0.405164,0.551516
144,0.440506,0.776415,0.655563,0.0807774,0.41187,0.558206
145,0.445226,0.777494,0.65682,0.0825082,0.418107,0.564471
146,0.449732,0.779358,0.658077,0.0841342,0.423815,0.569859
147,0.453897,0.781124,0.661219,0.0856428,0.42895,0.573934
148,0.458049,0.782596,0.661848,0.0870312,0.434039,0.577851
149,0.462094,0.784656,0.670019,0.088295,0.43873,0.581221
150,0.46578,0.786324,0.671276,0.0893287,0.442887,0.58296
151,0.469343,0.787305,0.672533,0.0901363,0.446096,0.583873
152,0.472679,0.78858,0.67379,0.0908098,0.448629,0.584335
153,0.475857,0.789365,0.675676,0.0913849,0.450627,0.584529
154,0.479063,0.790739,0.676304,0.0919185,0.452548,0.584529
155,0.482151,0.792308,0.676304,0.0921761,0.454561,0.584797
156,0.485234,0.792995,0.68259,0.0923582,0.456645,0.585028
157,0.488379,0.794369,0.684475,0.0927468,0.458687,0.585272
158,0.491713,0.797116,0.685104,0.0931895,0.460826,0.585709
159,0.49547,0.797802,0.685104,0.0937407,0.46345,0.586987
160,0.499597,0.799274,0.685104,0.094476,0.467015,0.588896
161,0.503931,0.800549,0.688246,0.0955204,0.471618,0.592254
162,0.508223,0.80261,0.690761,0.0969079,0.477034,0.595806
163,0.512871,0.805455,0.694532,0.0985708,0.482865,0.599759
164,0.517941,0.807221,0.707102,0.100524,0.488888,0.606158
165,0.522987,0.810066,0.712759,0.102817,0.495398,0.613395
166,0.528681,0.811734,0.714016,0.10547,0.502739,0.620925
167,0.534501,0.81399,0.718416,0.109027,0.510771,0.630279
168,0.539866,0.815363,0.719673,0.112734,0.5187,0.638356
169,0.544933,0.816933,0.722187,0.115723,0.52603,0.644974
170,0.549908,0.820465,0.722187,0.118477,0.532482,0.651676
171,0.554382,0.821544,0.728473,0.120992,0.538626,0.656359
172,0.55876,0.823212,0.733501,0.123274,0.544448,0.66131
173,0.562937,0.82537,0.734758,0.125324,0.549788,0.664947
174,0.566708,0.826057,0.736015,0.126966,0.554365,0.667392
175,0.570384,0.827921,0.737272,0.128196,0.558181,0.668548
176,0.573664,0.828608,0.737901,0.129165,0.561079,0.669059
177,0.576658,0.829687,0.738529,0.129983,0.563377,0.669168
178,0.579597,0.830374,0.738529,0.130742,0.565508,0.669266
179,0.582345,0.83057,0.738529,0.131104,0.567548,0.669387
180,0.584996,0.830668,0.738529,0.131366,0.569685,0.669424
181,0.587769,0.831159,0.743558,0.131922,0.571567,0.669752
182,0.590765,0.832238,0.746072,0.132586,0.573488,0.670056
183,0.594065,0.832826,0.7467,0.133395,0.575707,0.670482
184,0.597247,0.833513,0.7467,0.134433,0.578518,0.671334
185,0.600645,0.834789,0.7467,0.135843,0.582318,0.673876
186,0.604219,0.836358,0.7467,0.137666,0.586654,0.676078
187,0.607849,0.83783,0.748586,0.139813,0.591223,0.679496
188,0.611638,0.838713,0.750471,0.142294,0.59585,0.684106
189,0.615476,0.840283,0.750471,0.145134,0.600959,0.689422
190,0.619732,0.841656,0.750471,0.148367,0.606395,0.694616
191,0.623916,0.84303,0.7511,0.152704,0.612424,0.700735
192,0.627962,0.845678,0.751728,0.157304,0.618376,0.707084
193,0.63212,0.846758,0.753614,0.161104,0.623956,0.71285
194,0.635812,0.847837,0.754871,0.16461,0.628715,0.716378
195,0.639333,0.849505,0.758642,0.167763,0.633205,0.71993
196,0.642719,0.850093,0.759899,0.170622,0.637401,0.723822
197,0.645899,0.850878,0.762414,0.173179,0.641384,0.726474
198,0.6489,0.851663,0.763042,0.175212,0.644722,0.72825
199,0.651614,0.852252,0.763671,0.176721,0.647444,0.729187
200,0.654196,0.853429,0.764928,0.177863,0.64945,0.729734
201,0.656541,0.854508,0.764928,0.17882,0.651056,0.729953
202,0.658721,0.855195,0.766813,0.179706,0.652529,0.730063
203,0.660772,0.856863,0.768699,0.180129,0.654003,0.730172
204,0.663007,0.857157,0.769327,0.180417,0.655476,0.73033
205,0.66505,0.858138,0.771213,0.181034,0.656799,0.730367
206,0.667102,0.858236,0.771213,0.181799,0.658095,0.730403
207,0.669172,0.858825,0.771213,0.182727,0.659653,0.730562
208,0.671338,0.859217,0.771842,0.18389,0.661625,0.731133
209,0.673845,0.859806,0.773099,0.185441,0.664144,0.732216
210,0.676315,0.861081,0.774984,0.187457,0.667025,0.733955
211,0.678835,0.862553,0.777498,0.189804,0.670104,0.736546
212,0.681249,0.863632,0.78127,0.192472,0.673068,0.739064
213,0.683928,0.864024,0.781898,0.195483,0.676265,0.742251
214,0.68664,0.864515,0.785041,0.198859,0.67989,0.746679
215,0.689476,0.865496,0.785669,0.203312,0.683837,0.750158
216,0.692278,0.866771,0.791955,0.208095,0.687741,0.753929
217,0.695077,0.867262,0.795726,0.212143,0.691198,0.757359
218,0.697633,0.869028,0.803268,0.215825,0.694209,0.760011
219,0.699857,0.870009,0.803268,0.219115,0.697134,0.762286
220,0.701962,0.870696,0.803268,0.222088,0.699868,0.764354
221,0.704077,0.870794,0.803897,0.224755,0.702488,0.766118
222,0.706075,0.871284,0.804525,0.226853,0.704676,0.767444
223,0.707998,0.872069,0.804525,0.22841,0.706422,0.768186
224,0.70967,0.87305,0.805154,0.229577,0.707759,0.768636
225,0.711296,0.873639,0.817096,0.230532,0.708772,0.768745
226,0.712729,0.87462,0.818353,0.231386,0.709745,0.768867
227,0.714128,0.875895,0.818982,0.231809,0.710752,0.768952
228,0.715559,0.876876,0.818982,0.232073,0.711797,0.769025
229,0.716969,0.877661,0.818982,0.232647,0.712706,0.769098
230,0.718427,0.878054,0.818982,0.233396,0.713635,0.769195
231,0.719937,0.878544,0.81961,0.234306,0.714694,0.769511
232,0.72155,0.879035,0.81961,0.235419,0.716066,0.770266
233,0.723066,0.879231,0.820867,0.236849,0.717871,0.771519
234,0.724666,0.880016,0.820867,0.238671,0.720022,0.773246
235,0.726323,0.880212,0.822124,0.240823,0.722255,0.774949
236,0.727955,0.880506,0.822753,0.243274,0.724583,0.77743
237,0.729662,0.881095,0.822753,0.24601,0.727038,0.779571
238,0.7315,0.881978,0.823382,0.249089,0.729781,0.782296
239,0.733263,0.883155,0.823382,0.253048,0.732688,0.785045
240,0.735017,0.884529,0.823382,0.25738,0.735581,0.78839
241,0.736721,0.885313,0.825896,0.261199,0.738163,0.791602
242,0.738321,0.886098,0.829667,0.264637,0.740534,0.79401
243,0.73983,0.887177,0.829667,0.267679,0.742588,0.796395
244,0.741169,0.88757,0.830295,0.270389,0.744575,0.798195
245,0.742596,0.888257,0.830295,0.272755,0.7465,0.799679
246,0.743917,0.888747,0.830295,0.274598,0.74814,0.800628
247,0.745163,0.889532,0.831552,0.275927,0.749368,0.801491
248,0.746339,0.890611,0.832181,0.276913,0.750311,0.801601
249,0.747372,0.891004,0.834067,0.277703,0.751057,0.80171
250,0.748369,0.891592,0.835952,0.278372,0.751702,0.801771
251,0.749413,0.89277,0.835952,0.27872,0.752343,0.801783
252,0.750526,0.893358,0.835952,0.278915,0.753042,0.801905
253,0.751634,0.894241,0.835952,0.279357,0.753673,0.802039
254,0.752751,0.894535,0.835952,0.280007,0.754364,0.802343
255,0.753947,0.894732,0.835952,0.28082,0.755164,0.802635
256,0.755228,0.896399,0.838466,0.281822,0.756187,0.803243
257,0.756609,0.896596,0.843495,0.2831,0.757542,0.804581
258,0.757948,0.897479,0.844123,0.2847,0.759045,0.80587
259,0.759356,0.897675,0.844123,0.286547,0.760661,0.807853
260,0.760778,0.898067,0.846009,0.2886,0.762347,0.809544
261,0.762262,0.899245,0.847266,0.290908,0.764237,0.811855
262,0.76378,0.899931,0.848523,0.293484,0.766234,0.814191
263,0.765244,0.900618,0.849151,0.296609,0.768435,0.817195
264,0.766648,0.902384,0.852294,0.299942,0.770667,0.819799
265,0.768197,0.903757,0.856065,0.302958,0.772686,0.822402
266,0.769582,0.905523,0.856065,0.305687,0.774563,0.824336
267,0.770789,0.906701,0.857951,0.308138,0.776346,0.826014
268,0.772052,0.906799,0.857951,0.310359,0.777955,0.827158
269,0.773206,0.908074,0.857951,0.31232,0.779485,0.828289
270,0.77428,0.909055,0.85858,0.313857,0.780796,0.828764
271,0.775337,0.910233,0.862351,0.314991,0.781784,0.828995
272,0.776399,0.9119,0.862979,0.315887,0.782512,0.829043
273,0.777437,0.912195,0.864236,0.316612,0.783169,0.82908
274,0.778416,0.912587,0.864865,0.317196,0.783807,0.829116
275,0.77943,0.912979,0.864865,0.317478,0.784475,0.82925
276,0.780564,0.91347,0.864865,0.31768,0.785155,0.829287
277,0.781698,0.913862,0.864865,0.318121,0.785796,0.829335
278,0.782849,0.914451,0.865493,0.318702,0.786431,0.829408
279,0.784106,0.914745,0.868008,0.319437,0.787158,0.829725
280,0.785252,0.915334,0.868636,0.3204,0.7882,0.830138
281,0.786601,0.916609,0.868636,0.32172,0.789548,0.830892
282,0.787889,0.917492,0.868636,0.323397,0.791062,0.831829
283,0.789368,0.917689,0.869893,0.325329,0.792715,0.833143
284,0.7908,0.918375,0.869893,0.327528,0.794344,0.835016
285,0.792164,0.918572,0.870522,0.330026,0.796123,0.836658
286,0.793744,0.919356,0.870522,0.332834,0.798091,0.838872
287,0.795311,0.919945,0.870522,0.336256,0.800149,0.841354
288,0.796851,0.921024,0.872407,0.339698,0.802156,0.843373
289,0.798344,0.921319,0.873036,0.342535,0.804032,0.845635
290,0.799713,0.921613,0.874921,0.34514,0.805728,0.847278
291,0.80099,0.922398,0.876807,0.347536,0.807227,0.848543
292,0.802214,0.922398,0.876807,0.349756,0.808646,0.849638
293,0.803379,0.922986,0.876807,0.351753,0.810013,0.850744
294,0.804538,0.923771,0.876807,0.35336,0.811122,0.851353
295,0.805695,0.924066,0.877436,0.354612,0.812023,0.851645
296,0.806722,0.924066,0.877436,0.355647,0.812692,0.851669
297,0.807762,0.92436,0.879321,0.356519,0.813317,0.851669
298,0.808768,0.924752,0.879321,0.357267,0.813939,0.851669
299,0.809801,0.925145,0.879321,0.357626,0.814635,0.851718
300,0.811016,0.925341,0.879321,0.357935,0.815433,0.851742
301,0.812253,0.925831,0.879321,0.358575,0.816171,0.851961
302,0.81353,0.92642,0.87995,0.359344,0.816992,0.852119
303,0.814786,0.926813,0.881835,0.360302,0.817923,0.852423
304,0.816225,0.92799,0.881835,0.361595,0.819227,0.853056
305,0.817738,0.928382,0.881835,0.363458,0.821005,0.854175
306,0.819233,0.929461,0.881835,0.365882,0.823001,0.85572
307,0.820866,0.929952,0.881835,0.368722,0.825041,0.857751
308,0.822566,0.930148,0.883721,0.371988,0.827091,0.860026
309,0.824232,0.930442,0.884978,0.375782,0.829237,0.862288
310,0.825903,0.930541,0.884978,0.380073,0.831655,0.865244
311,0.827648,0.930835,0.885607,0.385381,0.834288,0.868614
312,0.829372,0.931227,0.888121,0.390589,0.836853,0.871764
313,0.831051,0.932405,0.891263,0.394673,0.839173,0.873978
314,0.83252,0.932699,0.89252,0.398436,0.841218,0.876253
315,0.834017,0.932895,0.893777,0.401864,0.843055,0.877725
316,0.835435,0.933091,0.893777,0.405002,0.844755,0.879343
317,0.836749,0.933484,0.894406,0.407793,0.846428,0.880498
318,0.838114,0.933974,0.894406,0.410043,0.847849,0.881252
319,0.839332,0.934171,0.895663,0.411799,0.848901,0.881593
320,0.840506,0.935152,0.900063,0.413229,0.84975,0.881654
321,0.84175,0.935446,0.901948,0.414438,0.850435,0.881654
322,0.842915,0.935936,0.902577,0.4155,0.851127,0.881654
323,0.844072,0.936329,0.903206,0.416017,0.851901,0.881666
324,0.84522,0.936917,0.903206,0.416488,0.85274,0.881703
325,0.846475,0.937408,0.905091,0.417443,0.853566,0.881812
326,0.847707,0.938291,0.905091,0.418555,0.85449,0.882031
327,0.849069,0.93888,0.908862,0.41992,0.855582,0.882274
328,0.850578,0.939664,0.908862,0.421719,0.857096,0.88298
329,0.852034,0.940155,0.909491,0.424247,0.858985,0.884525
330,0.853518,0.940744,0.909491,0.427553,0.861032,0.885838
331,0.855106,0.941528,0.910748,0.431455,0.863194,0.888235
332,0.856668,0.941627,0.913262,0.435943,0.865431,0.890728
333,0.858398,0.942902,0.913891,0.441123,0.867844,0.892991
