index,Android,Visual Studio Code,React,Microsoft,Spotify,Trivago,os_min,os_max,cs_min,cs_max
0.66,0.692136,0.728395,0.859375,0.986497,0.389017,0.296703,0.692136,0.859375,0.296703,0.986497
0.67,0.714445,0.740741,0.859375,0.995014,0.40289,0.299451,0.714445,0.859375,0.299451,0.995014
0.68,0.733408,0.765432,0.859375,0.997844,0.412717,0.307692,0.733408,0.859375,0.307692,0.997844
0.69,0.766871,0.783951,0.953125,0.999003,0.420231,0.362637,0.766871,0.953125,0.362637,0.999003
0.7,0.775795,0.944444,0.96875,0.999784,0.431792,0.370879,0.775795,0.96875,0.370879,0.999784
0.71,0.795315,0.975309,0.96875,1,0.459538,0.384615,0.795315,0.975309,0.384615,1
0.72,0.798661,1,1,,0.489017,0.395604,0.798661,1,0.395604,1
0.73,0.817066,,,,0.530058,0.508242,0.817066,1,0.508242,1
0.74,0.858896,,,,0.558382,0.513736,0.858896,1,0.513736,1
0.75,0.915784,,,,0.589595,0.565934,0.915784,1,0.565934,1
0.76,0.95092,,,,0.605202,0.601648,0.95092,1,0.601648,1
0.77,0.972672,,,,0.627746,0.604396,0.972672,1,0.604396,1
0.78,1,,,,0.642197,0.607143,1,1,0.607143,1
0.79,,,,,0.674566,0.629121,,1,0.629121,1
0.8,,,,,0.721965,0.662088,,1,0.662088,1
0.81,,,,,0.72948,0.68956,,1,0.68956,1
0.82,,,,,0.72948,0.804945,,1,0.72948,1
0.83,,,,,0.83815,0.815934,,1,0.815934,1
0.84,,,,,0.978613,0.815934,,1,0.815934,1
0.85,,,,,1,1,,1,1,1
